Giorno	Entrata1	Uscita1	Entrata2	Uscita2	OreOrdinarie	OreStraordinarie	Festivo	Note
1					0.00	0.00	NO	
2					0.00	0.00	NO	
3					0.00	0.00	NO	
4					0.00	0.00	NO	
5					0.00	0.00	NO	
6					0.00	0.00	NO	
7					0.00	0.00	NO	
8					0.00	0.00	NO	
9					0.00	0.00	NO	
10					0.00	0.00	NO	
11	02:00	21:23			8.00	11.38	NO	
12	08:00	12:12	13:00	17:00	8.20	0.00	NO	
12	17:30	18:00	19:30	21:00	2.00	0.00	NO	
13	08:00	12:01	13:05	18:28	8.00	1.40	NO	
14					0.00	0.00	NO	
15					0.00	0.00	NO	
16					0.00	0.00	NO	
17					0.00	0.00	NO	
18					0.00	0.00	NO	
19					0.00	0.00	NO	
20					0.00	0.00	NO	
21					0.00	0.00	NO	
22					0.00	0.00	NO	
23					0.00	0.00	NO	
24					0.00	0.00	NO	
25					0.00	0.00	NO	
26					0.00	0.00	NO	
27					0.00	0.00	NO	
28					0.00	0.00	NO	
29					0.00	0.00	NO	
30					0.00	0.00	NO	
31					0.00	0.00	NO	
